id,brewery_id,name,cat_id,style_id,abv,descript,rating,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,812,Hocus Pocus,11,116,4.5,"Our take on a classic summer ale.  A toast to weeds, rays, and summer haze.  A light, crisp ale for mowing lawns, hitting lazy fly balls, and communing with nature, Hocus Pocus is offered up as a summer sacrifice to clodless days.

Its malty sweetness finishes tart and crisp and is best apprediated with a wedge of orange.",3,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,264,Grimbergen Blonde,-1,-1,6.7,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,779,Widdershins Barleywine,-1,-1,9.1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,287,Lucifer,-1,-1,8.5,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1056,Bitter,-1,-1,4,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1385,Winter Warmer,1,13,5.2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1099,Winter Welcome 2007-2008,-1,-1,6,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1099,Oatmeal Stout,3,42,5,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,501,Espresso Porter,-1,-1,0,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,545,Chocolate Stout,3,42,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,742,Hitachino Nest Real Ginger Brew,-1,-1,7,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,779,JuJu Ginger,-1,-1,4,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,545,The Kidd Lager,7,86,0,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1099,Imperial Stout,3,42,7,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,1315,Oak-Aged Belgian Tripel,-1,-1,9,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,168,Ultrablonde,-1,-1,8,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,1023,Wiesen Edel Weisse,4,50,6.2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,39,Old Foghorn 2001,-1,-1,10,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,196,Framboise,-1,-1,6,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,483,Cow Palace Scotch Ale 1998,1,15,8.7,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1142,Bigfoot 2001,-1,-1,9.6,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1142,Bigfoot 2002,-1,-1,9.6,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1142,Bigfoot 2003,-1,-1,9.6,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1142,Bigfoot 2004,-1,-1,9.6,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1142,Bigfoot 2005,-1,-1,9.6,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1220,Winter Ale,1,13,5.9,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,878,Full Moon Winter Ale,5,72,5.6,This full-bodied ale is brewed with roasted malts and a hint of Dark Belgian sugar for a perfectly balanced taste.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,935,Odell IPA,3,31,7,"We took the traditional IPA, originally shipped from England to India in the 1700's, and made it bolder and more flavorful - American Style. We've added new varieties of highly aromatic American hops to create a distinctive bitterness profile and an incredible hop character.",3,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1271,Ornery Amber Lager,8,95,0,Ornery Amber is brewed with a blend of the finest European hops and gently roasted malts.,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,935,Cutthroat Porter,2,25,4.8,"Not quite a stout but definitely no lightweight, Cutthroat Porter is smooth and robust. Inspired by the classic London porters, we use dark roasted malts to create a deep, rich color and flavor that hint at chocolate and coffee. We named it Cutthroat Porter as our tribute to the Colorado state fish - with its own rich heritage and unmistakable dark coloring. And while we're big fans of small batches, here's to the currently threatened Cutthroat population reaching mass quantities.",2,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1271,Maple Nut Brown Ale Ale,3,38,0,Maple syrup is added to each barrel of Maple Nut Brown Ale to impart roasted sweetness balancing the nut flavor produced by chocolate malts.,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1271,Cocoa Porter,-1,-1,0,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,190,Jenlain Blonde,-1,-1,7.5,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,196,Blonde,-1,-1,7.5,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,432,Flemish Primitive Wild Ale (Demon Fish),-1,-1,9,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,294,Witkap-Pater Tripel,-1,-1,7.5,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1175,Winter Cheer,3,38,0,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,743,Canaster Winter Scotch,-1,-1,8.7,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1307,16,-1,-1,10,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1307,Quelque Chose,5,70,8,"Quelque Chose was launched in January 1996. This versatile beer was specifically developed as a winter beer because, when warmed to 70ÂºC (160ÂºF), it can be taken as a hot drink. On the other hand, on the rocks, it is a wonderful aperitif. The cherries are soaked for months in slightly bitter ale before being blended into the beer. Quelque Chose is made with dark roasted malts, and the end result is something commonly known as an authentic nectar. The most original of the Unibroue line, it is highly appreciated by winter-sports enthusiasts.",3,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,277,Kriek,-1,-1,7,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,170,BiÃ¨re Darbyste,11,116,0,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,723,Maracaibo Especial,3,38,7.5,"A rich brown ale inspired by the enigmatic monastic brews of Belgium, and the mysterious mist shrouded jungles of the tropics. Brewed with real cacao, and spiced with cinnamon and sweet orange peel for a sensual delight. A brew to be sipped, savored, and enjoyed!",1,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,432,Flemish Primitive Wild Ale (Pin Head),-1,-1,9,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,723,Calabaza Blanca,5,72,4.8,"Aged in large oak casks and refermented in the bottle, Calabaza Blanca is a Belgian Biere Blanche. Spiced with orange peel and corriander, you'll find it refreshingly tart, with a wonderfully dry finish.",5,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,901,Porter,2,25,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,901,Cardinal Pale Ale,3,26,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,176,Zinnebir Xmas,-1,-1,6.6,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,974,Bridal Ale 2005,-1,-1,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,176,Zinnebir,3,26,0,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,432,Saison Imperiale,-1,-1,8.5,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,170,La Moneuse,-1,-1,8,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,901,Red Sled Winter Ale,-1,-1,0,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,39,Christmas Ale 2007,-1,-1,0,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,176,Equinox Dark Belgian Winter,-1,-1,8,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,856,Serafijn Christmas Angel,-1,-1,8,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,160,Obovoid Empirical Stout,3,43,8,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,1221,Furious Beer,3,31,6,"Like Hops? You'll like this fire-hued beer. This is the beer I have always dreamed of making. This is the beer that would come to mind while spending the last two years tearing down walls, hanging sheetrock, moving kegs, power washing the ceilings, arguing with various agencies, and cutting the water main. 

Without Golden Promise malt, made by family-owned Simpsons Malt, Furious would just be pissed off-ed. From Scotland, this malt is still produced in the tradition of turning over the barley by hand, resulting in a malt that is unsurpassed in its quality. Golden Promise is also used extensively by premium whisky distilleries such as The Macallan. This malt provides the backbone for the intense hop character. Four American hop varieties are used at a rate of over three pounds per barrel. The result is a rich malt sweetness infused with bright hop flavor and aroma from beginning to end. Oh yeah, it's about 6% alcohol and around 100 IBUs.",1,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,1221,Bender Beer,3,38,5.1,"This beer is an amalgamation of styles; brown/porter/apa. Five distinct malts, including two from Belgium, give this beer added complexity and depth. We also add oatmeal to this beer to give it a smooth texture not usually associated with this type of beer. We add large amounts of American finishing hops to give Bender a citrus hop aroma because... we like hops. This is a session beer weighing in around 5% alcohol and 25 IBUs. Grab one today, we think you will want another!",4,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,1315,Oak Aged Ebenezer,-1,-1,9.4,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,160,Killer Penguin,3,35,10,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,236,Oatmeal Stout,3,42,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,935,Isolation Ale,11,141,6,"Ever been in a warm, cozy cabin and had a secret desire to get snowed in? To celebrate the winter season, we offer our Isolation Ale - a traditional winter brew made with premium malts imported from England. It's just one of the reasons Isolation Ale stands alone.",4,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,501,Festive Ale 2007,-1,-1,0,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,586,Bourbon County Stout 2007,-1,-1,13,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,670,Twelve Days,3,42,5.5,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,1056,Seriously Bad Elf,-1,-1,9,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,905,Big Shot Seasonal Ale,2,25,0,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,923,God Jul - Winter Ale,3,42,8.5,"A dark ale brewed specially for the Christmas season, with a rich, complex taste of caramel. This is a strong, dark and rather sweet Christmas Beer â€“ just the way we think a Christmas beer should be.",4,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,1142,Harvest Ale 2007,3,26,6.7,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,161,Nut Cracker Ale,11,141,5.9,"Nutcracker Ale is Boulevardâ€™s holiday gift for real beer lovers. This hearty, warming brew is a classic winter ale, deep amber in color, with hints of molasses balanced by the â€œspicinessâ€ of freshly harvested Chinook hops.",5,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,779,Goosinator Smoked Doppelbock 2007,8,95,0,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,779,Snow Bound Winter Ale,-1,-1,8.6,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,779,Warrior IPA,3,31,6.6,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,266,Petrus Oud Bruin,-1,-1,5.5,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,266,Petrus Gouden Tripel Ale,-1,-1,7.5,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,266,Petrus Blond Ale,-1,-1,6.6,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,266,Petrus Dubbel Bruin Ale,5,60,6.5,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,266,Petrus Speciale,3,26,5.5,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,1202,Weizengold Hefefein,4,50,5.1,"Stiegl Weizengold. It has 12o original gravity; the choicest ingredients and a top fermentation process are responsible for the highest possible quality and an unmistakable flavor. It is brewed according to the classic wheat beer recipe: 60 % wheat malt and 40 % barley malt, top fermentation and in compliance with the Purity Law of 1516.  This fine yeast wheat beer specialty is a refreshing, natural and stimulating beer brand.",5,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,160,Never Summer Ale,11,141,5.94,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,1264,Modern Monks Belgian Blonde,3,26,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,1264,Grand Cru,-1,-1,0,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,210,JÃ¶rger WeiÃŸe Hell,4,50,0,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,1272,OSB Premium Ale,-1,-1,4.5,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,425,Morocco Ale,-1,-1,5.5,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,1047,Glacier Ale,3,33,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,1047,Bent Nail IPA,3,31,0,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,879,Espresso Porter,-1,-1,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,879,Harvest Ale,3,26,0,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,879,Stillwater Rye,-1,-1,0,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,879,Sharptail Pale Ale,3,26,0,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,879,Fat Belly Amber,3,33,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,879,Whitetail Wheat,8,95,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,879,Sandbagger Gold,-1,-1,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,901,Brunette Nut Brown Ale,3,38,0,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,901,Irish Red,-1,-1,0,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,901,Belgian Wit,-1,-1,0,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,901,EOS Hefeweizen,4,50,0,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,901,India Pale Ale,3,26,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,1185,Winter Ale,1,13,6.3,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,1260,Pride & Joy Mild Ale,1,10,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,1260,Robert the Bruce Scottish Ale,1,15,7,"A big malty body from chocolate and roasted malts, well balanced with just the right combination of hops. Robust yet smooth, a true malt-lover's delight.",2,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,1056,Lump of Coal Dark Holiday Stout,3,42,8,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,1056,Warm Welcome Nut Browned Ale,3,38,6,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,884,Pendle Witches Brew,3,26,5.1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,345,Carnegie Stark-Porter,2,25,5.5,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,727,Harvest Ale 2002,1,13,11.5,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,1075,Woody Organic IPA,3,31,6.2,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,620,Adriaan,-1,-1,5,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,304,Leute Bok Bier,7,90,7.5,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,905,La Folie Falling Rock,-1,-1,6,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,1315,Oak Aged IPA,-1,-1,6,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,304,Tikka Gold,3,26,5,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,179,La Divine Double Blond,-1,-1,7.5,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,179,La Divine Tripel Amber,-1,-1,9,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,292,Ename Tripel,-1,-1,8.5,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,827,Triple Dipsea Belgian,-1,-1,9.2,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,1019,Oktoberfest Weizen,-1,-1,5.7,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,1029,Imperial Hefeweizen,-1,-1,7.5,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,481,Triple Exultation Old Ale,1,13,9.7,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,130,Organic Gingerbread Ale,-1,-1,6.8,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,1064,Falcon Pale Ale,3,26,0,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,441,Buzzsaw Brown,3,38,4.8,"By 1915, Bend, Oregon, was alive with the sound of the buzz saw, as two of the country's largest pine sawmills set up shop on the banks of the Deschutes River.  The mills are  gone now, but the smokestacks still stand testament to Bend's humble beginnings. 

Buzzsaw Brown is an easy-drinking beer that is refreshing after a hard dayâ€™s work. The timber mills in Bend may be closed, but whether your adventure includes a day of scaling rock faces, hitting 18 holes or skiing the slopes in spring, Buzzsaw Brown is the perfect end to a fun-filled day.

â€œBuzzsaw Brown is one of my favorite beers,â€ says Deschutes Brewery Brewmaster Larry Sidor. â€œThe unique combination of European and American malts makes it a very food friendly beer that pairs well with a wide variety of flavors.â€",2,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,369,Eisenbahn South American Pale Ale (S.A.P.A.),3,26,0,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,584,Geist Bock,7,90,6.1,"This is one of our rare lagers brewed in the style of the German Heiliges Geist Bock, or Holy Ghost Bock. The name refers to the lighter nature of the beer as opposed to the darker and heavier Doppel Bock and Mai Bock also brewed during the spring in Germany. There is a rich malt flavor, a firm German style lager head, and a clean lagered finish to this beer.  Available on draft or in 12 oz. bottles.",1,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,623,Troll Porter,2,25,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
